Problem_Number,Title,Status,SeverityLevel,EntityId,Host_name
P-23126627,CPU saturation,OPEN,RESOURCE_CONTENTION,HOST-FBD5F58A0F2FB9AF,SINSQVW01.na.corp.clorox.com
P-23126623,High rate of dropped packets,OPEN,ERROR,HOST-A9E32C8F278EAB97,scappbl02.clorox.com
P-23126620,Long garbage-collection time,OPEN,RESOURCE_CONTENTION,PROCESS_GROUP_INSTANCE-83DB9EDD19C2776B,IIS app pool .NET v4.5 Classic
P-23126407,CPU saturation,OPEN,RESOURCE_CONTENTION,HOST-454470B6964589CA,ushourocpw108.na.corp.clorox.com
P-23126398,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-1D6656CDE11A9CAB,s3dspvpw08.na.corp.clorox.com
P-23126380,CPU saturation,OPEN,RESOURCE_CONTENTION,HOST-6E601FB9131CCB26,ROG004.na.corp.clorox.com
P-23126353,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-80AE2F9961459383,SUIPDVW06.na.corp.clorox.com
P-23126331,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-200C42962A2AFE10,sessdvw03.na.corp.clorox.com
P-23126276,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-1259F6287AA9337F,s3dsbionvsqw147.na.corp.clorox.com
P-23126267,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-1B5258850976EC66,sjirpvw001.na.corp.clorox.com
P-23126262,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-42A6F6EE13115E23,tcmapbl01.clorox.com
P-23126253,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-8A9EB14F1BC7EE75,rog002.na.corp.clorox.com
P-23126246,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-2AD3C6D7BF4B5D0C,splmdbvpw14.na.corp.clorox.com
P-23126247,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-8D00A5B502F77DD1,s3dspvsqw1.na.corp.clorox.com
P-23126194,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-FC760B6F6A6924EC,S3DSBIONVPW80.na.corp.clorox.com
P-23126189,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-8D2ED0914D4DC544,SUIPDVW04.na.corp.clorox.com
P-23126184,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-07C8491980BF6A7E,SROSPVW01.na.corp.clorox.com
P-23126182,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-E3037703442DF753,spfcpvw007.na.corp.clorox.com
P-23126180,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-3CC8645159C86251,eug10ws2.na.corp.clorox.com
P-23126183,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-17405BF7E644903F,s3dscisvqw192.na.corp.clorox.com
P-23126179,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-3DEEB236F458231B,srdspvw01.na.corp.clorox.com
P-23126177,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-AE2498F645178AB4,SROSDVW01.na.corp.clorox.com
P-23126175,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-C52415975B4E1CF7,scwfpvw01.na.corp.clorox.com
P-23126172,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-2B4175E9C2A5FEA9,sftsvpw12.na.corp.clorox.com
P-23126173,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-F95139E3EAA9BF58,s3dspvpw09.na.corp.clorox.com
P-23126169,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-9BD2D6648EAEA1E0,s3dspvsqw18.na.corp.clorox.com
P-23126168,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-48D2A661C61238F2,eug10ws1.na.corp.clorox.com
P-23126155,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-42A6F6EE13115E23,tcmapbl01.clorox.com
P-23126125,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-2ED5A4B02D60C641,USLYHROCPW110.na.corp.clorox.com
P-23126121,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-14F92006961F1606,sinftvw04.na.corp.clorox.com
P-23126113,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-FD5F82B635C0BEF4,cpchrps1.clorox.com
P-23126112,JavaScriptError,OPEN,CUSTOM_ALERT,APPLICATION-EA7C4B59F27D43EB,My web application
P-23126101,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-7F21D28AE483B7DF,S3DSENGVPW05.na.corp.clorox.com
P-23126095,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-42A6F6EE13115E23,tcmapbl01.clorox.com
P-23126093,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-42A6F6EE13115E23,tcmapbl01.clorox.com
P-23126094,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-42A6F6EE13115E23,tcmapbl01.clorox.com
P-23126080,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-022BB2E2763BE875,tdbcppl12.clorox.com
P-23126071,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-0CB7FA1547429195,SPROPVW02.na.corp.clorox.com
P-23126055,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-71127A6D15733658,tcmapbl03.clorox.com
P-23126051,Low disk space,OPEN,RESOURCE_CONTENTION,HOST-42C680E823BAF51D,spoctvl02.clorox.com
